"ResponseType";"RT_io";"CorrectAnswer";"Distance";"Distance_type";"Condition";"ACC_trials";"Validity";"Saliency";"SalD";"NSalD";"Target";"RT_Trials";"participant";"val";"sal"
NA;775,020000059158;"u";NA;NA;"learn";1;"valid";"G";"G";"X";8;775,020000059158;6;1;NA
NA;695,130000007339;"e";NA;NA;"learn";1;"valid";"V";"V";"L";5;695,130000007339;6;1;NA
"RR";688,745000050403;"u";2;1;"learn";1;"valid";"G";"G";"X";6;688,745000050403;6;1;NA
"RR";514,860000112094;"e";2;1;"learn";1;"valid";"V";"V";"L";5;514,860000112094;6;1;NA
"RR";656,284999917261;"e";1;1;"learn";1;"valid";"V";"V";"L";3;656,284999917261;6;1;NA
"RR";505,119999987073;"e";1;1;"learn";1;"valid";"V";"V";"L";5;505,119999987073;6;1;NA
"RR";744,609999936074;"u";4;1;"learn";1;"valid";"G";"G";"X";6;744,609999936074;6;1;NA
"RR";798,229999956675;"u";1;1;"learn";1;"valid";"G";"G";"X";4;798,229999956675;6;1;NA
"RR";658,045000047423;"e";3;1;"learn";1;"valid";"V";"V";"L";3;658,045000047423;6;1;NA
"RR";813,944999943487;"e";1;1;"learn";1;"valid";"V";"V";"L";5;813,944999943487;6;1;NA
"RR";903,2850000076;"u";3;1;"learn";1;"valid";"G";"G";"X";4;903,2850000076;6;1;NA
"RR";721,264999941923;"u";1;1;"learn";1;"valid";"G";"G";"X";8;721,264999941923;6;1;NA
"RR";732,435000012629;"u";1;1;"learn";1;"valid";"G";"G";"X";6;732,435000012629;6;1;NA
"RR";533,045000047423;"u";1;1;"learn";1;"valid";"G";"G";"X";2;533,045000047423;6;1;NA
"RR";508,180000004359;"e";5;1;"learn";1;"valid";"V";"V";"L";7;508,180000004359;6;1;NA
"RR";758,015000028536;"e";1;1;"learn";1;"valid";"V";"V";"L";3;758,015000028536;6;1;NA
"RR";651,305000064895;"u";3;1;"learn";1;"valid";"G";"G";"X";4;651,305000064895;6;1;NA
"RR";606,039999984205;"u";1;1;"learn";1;"valid";"G";"G";"X";8;606,039999984205;6;1;NA
"RR";683,100000023842;"e";3;1;"learn";1;"valid";"V";"V";"L";5;683,100000023842;6;1;NA
"RR";612,369999988005;"e";1;1;"learn";1;"valid";"V";"V";"L";9;612,369999988005;6;1;NA
"RR";846,380000002682;"e";1;1;"learn";1;"valid";"V";"V";"L";7;846,380000002682;6;1;NA
"RR";574,035000056028;"e";1;1;"learn";1;"valid";"V";"V";"L";3;574,035000056028;6;1;NA
"RR";771,829999983311;"u";5;1;"learn";1;"valid";"G";"G";"X";8;771,829999983311;6;1;NA
"RR";882,274999981746;"u";1;1;"learn";1;"valid";"G";"G";"X";2;882,274999981746;6;1;NA
"RR";645,249999943189;"u";1;1;"learn";1;"valid";"G";"G";"X";8;645,249999943189;6;1;NA
"RR";756,150000030175;"e";4;1;"learn";1;"valid";"V";"V";"L";7;756,150000030175;6;1;NA
"RR";748,149999999441;"u";2;1;"learn";1;"valid";"G";"G";"X";6;748,149999999441;6;1;NA
"RR";703,024999937043;"e";2;1;"learn";1;"valid";"V";"V";"L";7;703,024999937043;6;1;NA
"RR";671,604999923147;"u";2;1;"learn";1;"valid";"G";"G";"X";6;671,604999923147;6;1;NA
"RR";599,189999978989;"u";1;1;"learn";1;"valid";"G";"G";"X";8;599,189999978989;6;1;NA
"RR";695,090000052005;"e";3;1;"learn";1;"valid";"V";"V";"L";5;695,090000052005;6;1;NA
"RR";819,365000003017;"e";1;1;"learn";1;"valid";"V";"V";"L";3;819,365000003017;6;1;NA
"RR";813,020000001416;"e";1;1;"learn";1;"valid";"V";"V";"L";7;813,020000001416;6;1;NA
