AwareResp.keys,AwareResp.corr,AwareResp.rt,AwareQ_loop.thisRepN,AwareQ_loop.thisTrialN,AwareQ_loop.thisN,AwareQ_loop.thisIndex,AwareQ_loop.ran,AwareQ,participant,PROLIFIC_ID,Solution,Block,Condition,Saliency,SalD,NSalD,CAResponse.keys,CAResponse.corr,CALearntrials.thisRepN,CALearntrials.thisTrialN,CALearntrials.thisN,CALearntrials.thisIndex,CALearntrials.ran,CA_Proceed.keys,CA_Proceed.rt,CAResponse_2.keys,CAResponse_2.corr,CAResponse_2.rt,CA_trials.thisRepN,CA_trials.thisTrialN,CA_trials.thisN,CA_trials.thisIndex,CA_trials.ran,Target
NA,NA,NA,NA,NA,NA,NA,NA,NA,100,5d59965467d37200015a769d,NA,CG Learn,LearnGuess,NonSalient,NA,X,"[""u""]",1,0,2,2,47,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?
NA,NA,NA,NA,NA,NA,NA,NA,NA,100,5d59965467d37200015a769d,NA,CG Learn,LearnGuess,Salient,V,NA,"[""e""]",1,0,6,6,40,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?
NA,NA,NA,NA,NA,NA,NA,NA,NA,100,5d59965467d37200015a769d,NA,CG Learn,LearnGuess,Salient,G,NA,"[""u""]",1,0,8,8,41,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?
NA,NA,NA,NA,NA,NA,NA,NA,NA,100,5d59965467d37200015a769d,NA,CG Learn,LearnGuess,Salient,V,NA,"[""e""]",1,0,27,27,44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?
NA,NA,NA,NA,NA,NA,NA,NA,NA,100,5d59965467d37200015a769d,NA,CG Learn,LearnGuess,Salient,G,NA,"[""u""]",1,0,29,29,45,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?
NA,NA,NA,NA,NA,NA,NA,NA,NA,100,5d59965467d37200015a769d,NA,CG Learn,LearnGuess,NonSalient,NA,L,"[""e""]",1,0,30,30,46,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?
NA,NA,NA,NA,NA,NA,NA,NA,NA,100,5d59965467d37200015a769d,NA,CG Learn,LearnGuess,NonSalient,NA,X,"[""u""]",1,0,40,40,43,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?
NA,NA,NA,NA,NA,NA,NA,NA,NA,100,5d59965467d37200015a769d,NA,CG Learn,LearnGuess,NonSalient,NA,L,"[""u""]",0,0,46,46,42,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?
NA,NA,NA,NA,NA,NA,NA,NA,NA,100,5d59965467d37200015a769d,NA,CG Learn,LearnGuess,Salient,G,NA,"[""e""]",0,1,3,51,41,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?
NA,NA,NA,NA,NA,NA,NA,NA,NA,100,5d59965467d37200015a769d,NA,CG Learn,LearnGuess,NonSalient,NA,L,"[""u""]",0,1,12,60,46,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?
NA,NA,NA,NA,NA,NA,NA,NA,NA,100,5d59965467d37200015a769d,NA,CG Learn,LearnGuess,NonSalient,NA,X,"[""e""]",0,1,14,62,47,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?
NA,NA,NA,NA,NA,NA,NA,NA,NA,100,5d59965467d37200015a769d,NA,CG Learn,LearnGuess,Salient,G,NA,"[""u""]",1,1,20,68,45,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?
NA,NA,NA,NA,NA,NA,NA,NA,NA,100,5d59965467d37200015a769d,NA,CG Learn,LearnGuess,Salient,V,NA,"[""e""]",1,1,36,84,44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?
NA,NA,NA,NA,NA,NA,NA,NA,NA,100,5d59965467d37200015a769d,NA,CG Learn,LearnGuess,Salient,V,NA,"[""e""]",1,1,37,85,40,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?
NA,NA,NA,NA,NA,NA,NA,NA,NA,100,5d59965467d37200015a769d,NA,CG Learn,LearnGuess,NonSalient,NA,X,"[""u""]",1,1,38,86,43,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?
NA,NA,NA,NA,NA,NA,NA,NA,NA,100,5d59965467d37200015a769d,NA,CG Learn,LearnGuess,NonSalient,NA,L,"[""e""]",1,1,40,88,42,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?
NA,NA,NA,NA,NA,NA,NA,NA,NA,100,5d59965467d37200015a769d,NA,ContingencyCheck,test,Salient,G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[""e""]",0,[1.9934499999508262],0,0,0,1,1,?
