"DRel";"RRel";"ProbeSaliency";"participant";"err"
"DC";"RC";"nonsalient";6;0
"DR";"RC";"nonsalient";6;0
"DC";"RR";"nonsalient";6;0
"DR";"RR";"nonsalient";6;0
"DC";"RC";"salient";6;0
"DR";"RC";"salient";6;0
"DC";"RR";"salient";6;0
"DR";"RR";"salient";6;0
"DC";"RC";"nonsalient";7;0
"DR";"RC";"nonsalient";7;0
"DC";"RR";"nonsalient";7;0,166666666666667
"DR";"RR";"nonsalient";7;0,333333333333333
"DC";"RC";"salient";7;0
"DR";"RC";"salient";7;0,222222222222222
"DC";"RR";"salient";7;0,2
"DR";"RR";"salient";7;0
"DC";"RC";"nonsalient";8;0
"DR";"RC";"nonsalient";8;0
"DC";"RR";"nonsalient";8;0
"DR";"RR";"nonsalient";8;0
"DC";"RC";"salient";8;0
"DR";"RC";"salient";8;0
"DC";"RR";"salient";8;0,285714285714286
"DR";"RR";"salient";8;0
"DC";"RC";"nonsalient";9;0
"DR";"RC";"nonsalient";9;0
"DC";"RR";"nonsalient";9;0
"DR";"RR";"nonsalient";9;0
"DC";"RC";"salient";9;0
"DR";"RC";"salient";9;0
"DC";"RR";"salient";9;0
"DR";"RR";"salient";9;0
"DC";"RC";"nonsalient";11;0
"DR";"RC";"nonsalient";11;0,142857142857143
"DC";"RR";"nonsalient";11;0,285714285714286
"DR";"RR";"nonsalient";11;0,111111111111111
"DC";"RC";"salient";11;0
"DR";"RC";"salient";11;0
"DC";"RR";"salient";11;0,166666666666667
"DR";"RR";"salient";11;0
"DC";"RC";"nonsalient";12;0
"DR";"RC";"nonsalient";12;0
"DC";"RR";"nonsalient";12;0,166666666666667
"DR";"RR";"nonsalient";12;0
"DC";"RC";"salient";12;0,142857142857143
"DR";"RC";"salient";12;0
"DC";"RR";"salient";12;0,1
"DR";"RR";"salient";12;0
"DC";"RC";"nonsalient";13;0
"DR";"RC";"nonsalient";13;0,125
"DC";"RR";"nonsalient";13;0
"DR";"RR";"nonsalient";13;0,125
"DC";"RC";"salient";13;0,2
"DR";"RC";"salient";13;0
"DC";"RR";"salient";13;0
"DR";"RR";"salient";13;0
"DC";"RC";"nonsalient";17;0,25
"DR";"RC";"nonsalient";17;0,125
"DC";"RR";"nonsalient";17;0
"DR";"RR";"nonsalient";17;0,285714285714286
"DC";"RC";"salient";17;0
"DR";"RC";"salient";17;0
"DC";"RR";"salient";17;0,125
"DR";"RR";"salient";17;0,125
"DC";"RC";"nonsalient";19;0
"DR";"RC";"nonsalient";19;0
"DC";"RR";"nonsalient";19;0
"DR";"RR";"nonsalient";19;0
"DC";"RC";"salient";19;0
"DR";"RC";"salient";19;0
"DC";"RR";"salient";19;0
"DR";"RR";"salient";19;0
"DC";"RC";"nonsalient";20;0,142857142857143
"DR";"RC";"nonsalient";20;0
"DC";"RR";"nonsalient";20;0,5
"DR";"RR";"nonsalient";20;0,111111111111111
"DC";"RC";"salient";20;0,125
"DR";"RC";"salient";20;0
"DC";"RR";"salient";20;0,2
"DR";"RR";"salient";20;0,333333333333333
"DC";"RC";"nonsalient";21;0,142857142857143
"DR";"RC";"nonsalient";21;0
"DC";"RR";"nonsalient";21;0,285714285714286
"DR";"RR";"nonsalient";21;0,666666666666667
"DC";"RC";"salient";21;0,1
"DR";"RC";"salient";21;0,142857142857143
"DC";"RR";"salient";21;0,2
"DR";"RR";"salient";21;0
"DC";"RC";"nonsalient";22;0
"DR";"RC";"nonsalient";22;0
"DC";"RR";"nonsalient";22;0
"DR";"RR";"nonsalient";22;0,125
"DC";"RC";"salient";22;0
"DR";"RC";"salient";22;0
"DC";"RR";"salient";22;0
"DR";"RR";"salient";22;0,142857142857143
"DC";"RC";"nonsalient";23;0,111111111111111
"DR";"RC";"nonsalient";23;0,2
"DC";"RR";"nonsalient";23;0
"DR";"RR";"nonsalient";23;0
"DC";"RC";"salient";23;0,25
"DR";"RC";"salient";23;0,166666666666667
"DC";"RR";"salient";23;0
"DR";"RR";"salient";23;0
"DC";"RC";"nonsalient";24;0
"DR";"RC";"nonsalient";24;0
"DC";"RR";"nonsalient";24;0,2
"DR";"RR";"nonsalient";24;0,142857142857143
"DC";"RC";"salient";24;0
"DR";"RC";"salient";24;0,111111111111111
"DC";"RR";"salient";24;0
"DR";"RR";"salient";24;0
"DC";"RC";"nonsalient";25;0
"DR";"RC";"nonsalient";25;0,285714285714286
"DC";"RR";"nonsalient";25;0,0909090909090909
"DR";"RR";"nonsalient";25;0
"DC";"RC";"salient";25;0
"DR";"RC";"salient";25;0,2
"DC";"RR";"salient";25;0,222222222222222
"DR";"RR";"salient";25;0
"DC";"RC";"nonsalient";26;0,166666666666667
"DR";"RC";"nonsalient";26;0
"DC";"RR";"nonsalient";26;0,166666666666667
"DR";"RR";"nonsalient";26;0
"DC";"RC";"salient";26;0,142857142857143
"DR";"RC";"salient";26;0,0909090909090909
"DC";"RR";"salient";26;0
"DR";"RR";"salient";26;0,25
"DC";"RC";"nonsalient";28;0
"DR";"RC";"nonsalient";28;0,2
