"DRel";"RRel";"ProbeSaliency";"participant";"RT_io"
"DC";"RC";"nonsalient";6;499,521428552855
"DR";"RC";"nonsalient";6;531,726666648562
"DC";"RR";"nonsalient";6;625,22214283568
"DR";"RR";"nonsalient";6;533,140000072308
"DC";"RC";"salient";6;561,044999980368
"DR";"RC";"salient";6;623,383750033099
"DC";"RR";"salient";6;606,286666705273
"DR";"RR";"salient";6;530,416000005789
"DC";"RC";"nonsalient";7;494,112142856401
"DR";"RC";"nonsalient";7;561,789166667343
"DC";"RR";"nonsalient";7;547,241999999142
"DR";"RR";"nonsalient";7;497,076249998002
"DC";"RC";"salient";7;515,807222220878
"DR";"RC";"salient";7;576,160000001063
"DC";"RR";"salient";7;490,101249999469
"DR";"RR";"salient";7;460,51999999911
"DC";"RC";"nonsalient";8;591,434000025038
"DR";"RC";"nonsalient";8;603,876999998465
"DC";"RR";"nonsalient";8;564,376875001471
"DR";"RR";"nonsalient";8;587,06687499216
"DC";"RC";"salient";8;573,361875001865
"DR";"RC";"salient";8;595,799999980954
"DC";"RR";"salient";8;633,253999997396
"DR";"RR";"salient";8;590,00000001397
"DC";"RC";"nonsalient";9;634,874285714302
"DR";"RC";"nonsalient";9;641,004545454507
"DC";"RR";"nonsalient";9;626,127500000052
"DR";"RR";"nonsalient";9;581,76333333328
"DC";"RC";"salient";9;604,939999999999
"DR";"RC";"salient";9;528,054285714331
"DC";"RR";"salient";9;593,867499999874
"DR";"RR";"salient";9;530,699999999996
"DC";"RC";"nonsalient";11;595,333333333315
"DR";"RC";"nonsalient";11;538,166666666693
"DC";"RR";"nonsalient";11;554,249999999996
"DR";"RR";"nonsalient";11;616,857142857157
"DC";"RC";"salient";11;523,37500000003
"DR";"RC";"salient";11;567,249999999987
"DC";"RR";"salient";11;671,799999999985
"DR";"RR";"salient";11;568,444444444468
"DC";"RC";"nonsalient";12;617,431111109883
"DR";"RC";"nonsalient";12;656,974999999557
"DC";"RR";"nonsalient";12;644,215000007478
"DR";"RR";"nonsalient";12;620,164999997883
"DC";"RC";"salient";12;752,35625000272
"DR";"RC";"salient";12;626,468999998133
"DC";"RR";"salient";12;706,021666667463
"DR";"RR";"salient";12;612,161250002828
"DC";"RC";"nonsalient";13;631,468333303928
"DR";"RC";"nonsalient";13;559,963571406635
"DC";"RR";"nonsalient";13;677,262499928474
"DR";"RR";"nonsalient";13;662,281428596803
"DC";"RC";"salient";13;622,011666651815
"DR";"RC";"salient";13;679,018333282632
"DC";"RR";"salient";13;538,474999921164
"DR";"RR";"salient";13;581,102499971166
"DC";"RC";"nonsalient";17;530,091666616499
"DR";"RC";"nonsalient";17;494,52642856964
"DC";"RR";"nonsalient";17;448,631000006571
"DR";"RR";"nonsalient";17;531,790999998339
"DC";"RC";"salient";17;413,113571420711
"DR";"RC";"salient";17;500,989375010249
"DC";"RR";"salient";17;534,397857147269
"DR";"RR";"salient";17;509,522857127844
"DC";"RC";"nonsalient";19;687,000000000012
"DR";"RC";"nonsalient";19;760,166666666673
"DC";"RR";"nonsalient";19;700,999999999999
"DR";"RR";"nonsalient";19;775,875000000042
"DC";"RC";"salient";19;683,111111111114
"DR";"RC";"salient";19;807,571428571432
"DC";"RR";"salient";19;780,499999999961
"DR";"RR";"salient";19;661,571428571408
"DC";"RC";"nonsalient";20;592,477499992431
"DR";"RC";"nonsalient";20;585,800000000745
"DC";"RR";"nonsalient";20;537,473999988288
"DR";"RR";"nonsalient";20;587,30125000875
"DC";"RC";"salient";20;418,658571417576
"DR";"RC";"salient";20;553,098333301023
"DC";"RR";"salient";20;595,363125030417
"DR";"RR";"salient";20;513,870000024326
"DC";"RC";"nonsalient";21;603,066666667777
"DR";"RC";"nonsalient";21;459,043749997363
"DC";"RR";"nonsalient";21;623,702500000946
"DR";"RR";"nonsalient";21;609,917499990843
"DC";"RC";"salient";21;549,792777779279
"DR";"RC";"salient";21;561,480000001552
"DC";"RR";"salient";21;630,423750004411
"DR";"RR";"salient";21;521,927499998128
"DC";"RC";"nonsalient";22;639,394999947399
"DR";"RC";"nonsalient";22;661,6633333421
"DC";"RR";"nonsalient";22;626,310714320945
"DR";"RR";"nonsalient";22;612,174166599289
"DC";"RC";"salient";22;718,845833286954
"DR";"RC";"salient";22;675,149999985782
"DC";"RR";"salient";22;639,373750018422
"DR";"RR";"salient";22;635,773999989033
"DC";"RC";"nonsalient";23;475,845714285193
"DR";"RC";"nonsalient";23;427,232500000684
"DC";"RR";"nonsalient";23;466,458750000129
"DR";"RR";"nonsalient";23;447,151000000303
"DC";"RC";"salient";23;470,333333333353
"DR";"RC";"salient";23;491,474999999991
"DC";"RR";"salient";23;443,691666666685
"DR";"RR";"salient";23;433,22666666639
"DC";"RC";"nonsalient";24;534,967999986839
"DR";"RC";"nonsalient";24;545,271666642899
"DC";"RR";"nonsalient";24;634,917500021402
"DR";"RR";"nonsalient";24;495,041000028141
"DC";"RC";"salient";24;526,80625001085
"DR";"RC";"salient";24;569,656250023399
"DC";"RR";"salient";24;563,020833360497
"DR";"RR";"salient";24;548,373571447363
"DC";"RC";"nonsalient";25;482,542142937226
"DR";"RC";"nonsalient";25;526,944000041112
"DC";"RR";"nonsalient";25;485,906500020064
"DR";"RR";"nonsalient";25;566,457499982789
"DC";"RC";"salient";25;512,65500014415
"DR";"RC";"salient";25;495,463749975897
"DC";"RR";"salient";25;477,672500031379
"DR";"RR";"salient";25;436,97428570262
"DC";"RC";"nonsalient";26;584,278000001405
"DR";"RC";"nonsalient";26;556,903181817864
"DC";"RR";"nonsalient";26;595,109999999136
"DR";"RR";"nonsalient";26;555,354999999833
